Method Name,Code Smell,Refactoring Suggestion
test_checkpoint_multi_device_using_localhost,Long Method,Refactor 'test_checkpoint_multi_device_using_localhost' by splitting it into smaller functions.
test_single_task_save_singlehost_multidevice,Long Method,Refactor 'test_single_task_save_singlehost_multidevice' by splitting it into smaller functions.
testGatherRaiseDiffShapeAtNonAxis,Long Method,Refactor 'testGatherRaiseDiffShapeAtNonAxis' by splitting it into smaller functions.
testGatherRaiseDifferentRank,Long Method,Refactor 'testGatherRaiseDifferentRank' by splitting it into smaller functions.
testAllGatherNest,Long Method,Refactor 'testAllGatherNest' by splitting it into smaller functions.
testAllGatherRaiseDiffShapeAtNonAxis,Long Method,Refactor 'testAllGatherRaiseDiffShapeAtNonAxis' by splitting it into smaller functions.
testAllGatherRaiseDifferentRank,Long Method,Refactor 'testAllGatherRaiseDifferentRank' by splitting it into smaller functions.
testAllGatherGradient,Long Method,Refactor 'testAllGatherGradient' by splitting it into smaller functions.
testAllGatherGradientNest,Long Method,Refactor 'testAllGatherGradientNest' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_set_spawn_exe_path,Long Method,Refactor '_set_spawn_exe_path' by splitting it into smaller functions.
testSparseUpdate,Long Method,Refactor 'testSparseUpdate' by splitting it into smaller functions.
testOperatorOverride,Long Method,Refactor 'testOperatorOverride' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
imperative_grad,Long Method,Refactor 'imperative_grad' by splitting it into smaller functions.
testBNWithZeroBatchInputGraph,Long Method,Refactor 'testBNWithZeroBatchInputGraph' by splitting it into smaller functions.
testBNWithZeroBatchInput,Long Method,Refactor 'testBNWithZeroBatchInput' by splitting it into smaller functions.
testBNWithDynamicBatchInputEager,Long Method,Refactor 'testBNWithDynamicBatchInputEager' by splitting it into smaller functions.
_create_cluster,Long Method,Refactor '_create_cluster' by splitting it into smaller functions.
create_in_process_cluster,Long Method,Refactor 'create_in_process_cluster' by splitting it into smaller functions.
create_cluster_spec,Long Method,Refactor 'create_cluster_spec' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_run_task_in_thread,Long Method,Refactor '_run_task_in_thread' by splitting it into smaller functions.
stream_stderr,Long Method,Refactor 'stream_stderr' by splitting it into smaller functions.
task_function,Long Method,Refactor 'task_function' by splitting it into smaller functions.
get_checkpoint_factories_and_keys,Long Method,Refactor 'get_checkpoint_factories_and_keys' by splitting it into smaller functions.
generate_saveable_objects,Long Method,Refactor 'generate_saveable_objects' by splitting it into smaller functions.
serialize_gathered_objects,Long Method,Refactor 'serialize_gathered_objects' by splitting it into smaller functions.
test_grappler_optimization,Long Method,Refactor 'test_grappler_optimization' by splitting it into smaller functions.
test_small_constants_optimization_without_grappler,Long Method,Refactor 'test_small_constants_optimization_without_grappler' by splitting it into smaller functions.
_create_event,Long Method,Refactor '_create_event' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_emit_op,Long Method,Refactor '_emit_op' by splitting it into smaller functions.
_analyze_tensors,Long Method,Refactor '_analyze_tensors' by splitting it into smaller functions.
_show_compute,Long Method,Refactor '_show_compute' by splitting it into smaller functions.
_show_memory_counters,Long Method,Refactor '_show_memory_counters' by splitting it into smaller functions.
_preprocess_op_time,Long Method,Refactor '_preprocess_op_time' by splitting it into smaller functions.
analyze_step_stats,Long Method,Refactor 'analyze_step_stats' by splitting it into smaller functions.
generate_chrome_trace_format,Long Method,Refactor 'generate_chrome_trace_format' by splitting it into smaller functions.
get_iterator_spec_from_dataset,Long Method,Refactor 'get_iterator_spec_from_dataset' by splitting it into smaller functions.
_dummy_tensor_fn,Long Method,Refactor '_dummy_tensor_fn' by splitting it into smaller functions.
_get_value_or_dummy,Long Method,Refactor '_get_value_or_dummy' by splitting it into smaller functions.
get_next_as_optional,Long Method,Refactor 'get_next_as_optional' by splitting it into smaller functions.
get_next,Long Method,Refactor 'get_next' by splitting it into smaller functions.
most_specific_common_supertype,Long Method,Refactor 'most_specific_common_supertype' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_create_cloned_datasets_from_dataset,Long Method,Refactor '_create_cloned_datasets_from_dataset' by splitting it into smaller functions.
_make_rebatch_fn,Long Method,Refactor '_make_rebatch_fn' by splitting it into smaller functions.
__iter__,Long Method,Refactor '__iter__' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
__iter__,Long Method,Refactor '__iter__' by splitting it into smaller functions.
create_dummy_tensor,Long Method,Refactor 'create_dummy_tensor' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_create_owned_multi_device_iterator,Long Method,Refactor '_create_owned_multi_device_iterator' by splitting it into smaller functions.
set_last_step_output,Long Method,Refactor 'set_last_step_output' by splitting it into smaller functions.
aggregate_gradients_using_hierarchical_copy,Long Method,Refactor 'aggregate_gradients_using_hierarchical_copy' by splitting it into smaller functions.
aggregate_single_gradient_using_copy,Long Method,Refactor 'aggregate_single_gradient_using_copy' by splitting it into smaller functions.
group_by_size,Long Method,Refactor 'group_by_size' by splitting it into smaller functions.
batch_all_reduce,Long Method,Refactor 'batch_all_reduce' by splitting it into smaller functions.
all_gather,Long Method,Refactor 'all_gather' by splitting it into smaller functions.
all_reduce_indexed_slices,Long Method,Refactor 'all_reduce_indexed_slices' by splitting it into smaller functions.
_on_write_update_replica,Long Method,Refactor '_on_write_update_replica' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
__deepcopy__,Long Method,Refactor '__deepcopy__' by splitting it into smaller functions.
_update,Long Method,Refactor '_update' by splitting it into smaller functions.
_export_to_saved_model_graph,Long Method,Refactor '_export_to_saved_model_graph' by splitting it into smaller functions.
forward_compatible,Long Method,Refactor 'forward_compatible' by splitting it into smaller functions.
forward_compatibility_horizon,Long Method,Refactor 'forward_compatibility_horizon' by splitting it into smaller functions.
_default_getter,Long Method,Refactor '_default_getter' by splitting it into smaller functions.
object_metadata,Long Method,Refactor 'object_metadata' by splitting it into smaller functions.
capture_dependencies,Long Method,Refactor 'capture_dependencies' by splitting it into smaller functions.
__del__,Long Method,Refactor '__del__' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
restore_saveables,Long Method,Refactor 'restore_saveables' by splitting it into smaller functions.
globally_named_object_attributes,Long Method,Refactor 'globally_named_object_attributes' by splitting it into smaller functions.
eager_restore,Long Method,Refactor 'eager_restore' by splitting it into smaller functions.
_trackable_custom_creator,Long Method,Refactor '_trackable_custom_creator' by splitting it into smaller functions.
assert_consumed,Long Method,Refactor 'assert_consumed' by splitting it into smaller functions.
assert_existing_objects_matched,Long Method,Refactor 'assert_existing_objects_matched' by splitting it into smaller functions.
initialize_or_restore,Long Method,Refactor 'initialize_or_restore' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_save_cached_when_graph_building,Long Method,Refactor '_save_cached_when_graph_building' by splitting it into smaller functions.
save,Long Method,Refactor 'save' by splitting it into smaller functions.
restore,Long Method,Refactor 'restore' by splitting it into smaller functions.
_write,Long Method,Refactor '_write' by splitting it into smaller functions.
save,Long Method,Refactor 'save' by splitting it into smaller functions.
restore,Long Method,Refactor 'restore' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_maybe_create_save_counter,Long Method,Refactor '_maybe_create_save_counter' by splitting it into smaller functions.
write,Long Method,Refactor 'write' by splitting it into smaller functions.
_write,Long Method,Refactor '_write' by splitting it into smaller functions.
save,Long Method,Refactor 'save' by splitting it into smaller functions.
read,Long Method,Refactor 'read' by splitting it into smaller functions.
restore,Long Method,Refactor 'restore' by splitting it into smaller functions.
_validate_cluster_spec,Long Method,Refactor '_validate_cluster_spec' by splitting it into smaller functions.
is_chief,Long Method,Refactor 'is_chief' by splitting it into smaller functions.
collective_leader,Long Method,Refactor 'collective_leader' by splitting it into smaller functions.
id_in_cluster,Long Method,Refactor 'id_in_cluster' by splitting it into smaller functions.
make_fn,Long Method,Refactor 'make_fn' by splitting it into smaller functions.
testStaticHashTableDatasetFnHostTrainingLoop,Long Method,Refactor 'testStaticHashTableDatasetFnHostTrainingLoop' by splitting it into smaller functions.
test_computation_on_subset_cores,Long Method,Refactor 'test_computation_on_subset_cores' by splitting it into smaller functions.
test_cluster_conditional_with_dynamic_shape,Long Method,Refactor 'test_cluster_conditional_with_dynamic_shape' by splitting it into smaller functions.
test_tpu_run_arg_parsing,Long Method,Refactor 'test_tpu_run_arg_parsing' by splitting it into smaller functions.
test_all_reduce_on_sync_on_read_variable,Long Method,Refactor 'test_all_reduce_on_sync_on_read_variable' by splitting it into smaller functions.
test_composite_input_output,Long Method,Refactor 'test_composite_input_output' by splitting it into smaller functions.
test_composite_input_non_flat_output,Long Method,Refactor 'test_composite_input_non_flat_output' by splitting it into smaller functions.
test_composite_input_dynamic_shapes_outside_compilation,Long Method,Refactor 'test_composite_input_dynamic_shapes_outside_compilation' by splitting it into smaller functions.
test_composite_input_with_non_flat_components,Long Method,Refactor 'test_composite_input_with_non_flat_components' by splitting it into smaller functions.
test_tpu_cancellation_does_not_close_chips,Long Method,Refactor 'test_tpu_cancellation_does_not_close_chips' by splitting it into smaller functions.
test_variables_mismatched_device_assignment,Long Method,Refactor 'test_variables_mismatched_device_assignment' by splitting it into smaller functions.
testComplexPipeline,Long Method,Refactor 'testComplexPipeline' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_connect_to_cluster,Long Method,Refactor '_connect_to_cluster' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_create_var_creator,Long Method,Refactor '_create_var_creator' by splitting it into smaller functions.
_create_variable,Long Method,Refactor '_create_variable' by splitting it into smaller functions.
_resource_creator_scope,Long Method,Refactor '_resource_creator_scope' by splitting it into smaller functions.
init_shard_fn,Long Method,Refactor 'init_shard_fn' by splitting it into smaller functions.
testAssign,Long Method,Refactor 'testAssign' by splitting it into smaller functions.
testAssignOnWriteVar,Long Method,Refactor 'testAssignOnWriteVar' by splitting it into smaller functions.
testAssignPerReplicaVal,Long Method,Refactor 'testAssignPerReplicaVal' by splitting it into smaller functions.
testSaveAndRestoreOnWrite,Long Method,Refactor 'testSaveAndRestoreOnWrite' by splitting it into smaller functions.
testScatterOpsWithNoneAggregation,Long Method,Refactor 'testScatterOpsWithNoneAggregation' by splitting it into smaller functions.
testAssign,Long Method,Refactor 'testAssign' by splitting it into smaller functions.
testAssignOnReadVar,Long Method,Refactor 'testAssignOnReadVar' by splitting it into smaller functions.
testAssignPerReplicaVal,Long Method,Refactor 'testAssignPerReplicaVal' by splitting it into smaller functions.
testAssignDtypeConversion,Long Method,Refactor 'testAssignDtypeConversion' by splitting it into smaller functions.
testReadValueInCrossReplicaContext,Long Method,Refactor 'testReadValueInCrossReplicaContext' by splitting it into smaller functions.
testSaveAndRestoreOnRead,Long Method,Refactor 'testSaveAndRestoreOnRead' by splitting it into smaller functions.
_get_tpu_strategy_creator,Long Method,Refactor '_get_tpu_strategy_creator' by splitting it into smaller functions.
_get_multi_worker_mirrored_creator,Long Method,Refactor '_get_multi_worker_mirrored_creator' by splitting it into smaller functions.
_get_ps_strategy_creator,Long Method,Refactor '_get_ps_strategy_creator' by splitting it into smaller functions.
_deferred_pool_runner,Long Method,Refactor '_deferred_pool_runner' by splitting it into smaller functions.
_create_tpu_strategy,Long Method,Refactor '_create_tpu_strategy' by splitting it into smaller functions.
_create_multi_worker_mirrored,Long Method,Refactor '_create_multi_worker_mirrored' by splitting it into smaller functions.
_create_parameter_server,Long Method,Refactor '_create_parameter_server' by splitting it into smaller functions.
connect_to_remote_host,Long Method,Refactor 'connect_to_remote_host' by splitting it into smaller functions.
connect_to_cluster,Long Method,Refactor 'connect_to_cluster' by splitting it into smaller functions.
serialize_slot_variables,Long Method,Refactor 'serialize_slot_variables' by splitting it into smaller functions.
add_checkpoint_values_check,Long Method,Refactor 'add_checkpoint_values_check' by splitting it into smaller functions.
objects_ids_and_slot_variables_and_paths,Long Method,Refactor 'objects_ids_and_slot_variables_and_paths' by splitting it into smaller functions.
testWriteEvents,Long Method,Refactor 'testWriteEvents' by splitting it into smaller functions.
variable_sync_on_read_context,Long Method,Refactor 'variable_sync_on_read_context' by splitting it into smaller functions.
get_replica_context,Long Method,Refactor 'get_replica_context' by splitting it into smaller functions.
experimental_set_strategy,Long Method,Refactor 'experimental_set_strategy' by splitting it into smaller functions.
__exit__,Long Method,Refactor '__exit__' by splitting it into smaller functions.
scope,Long Method,Refactor 'scope' by splitting it into smaller functions.
experimental_distribute_dataset,Long Method,Refactor 'experimental_distribute_dataset' by splitting it into smaller functions.
distribute_datasets_from_function,Long Method,Refactor 'distribute_datasets_from_function' by splitting it into smaller functions.
run,Long Method,Refactor 'run' by splitting it into smaller functions.
reduce,Long Method,Refactor 'reduce' by splitting it into smaller functions.
cluster_resolver,Long Method,Refactor 'cluster_resolver' by splitting it into smaller functions.
experimental_distribute_values_from_function,Long Method,Refactor 'experimental_distribute_values_from_function' by splitting it into smaller functions.
gather,Long Method,Refactor 'gather' by splitting it into smaller functions.
make_input_fn_iterator,Long Method,Refactor 'make_input_fn_iterator' by splitting it into smaller functions.
experimental_run,Long Method,Refactor 'experimental_run' by splitting it into smaller functions.
_scope,Long Method,Refactor '_scope' by splitting it into smaller functions.
colocate_vars_with,Long Method,Refactor 'colocate_vars_with' by splitting it into smaller functions.
reduce_to,Long Method,Refactor 'reduce_to' by splitting it into smaller functions.
batch_reduce_to,Long Method,Refactor 'batch_reduce_to' by splitting it into smaller functions.
_replica_ctx_all_reduce,Long Method,Refactor '_replica_ctx_all_reduce' by splitting it into smaller functions.
_gather_to,Long Method,Refactor '_gather_to' by splitting it into smaller functions.
update,Long Method,Refactor 'update' by splitting it into smaller functions.
experimental_run_steps_on_iterator,Long Method,Refactor 'experimental_run_steps_on_iterator' by splitting it into smaller functions.
call_for_each_replica,Long Method,Refactor 'call_for_each_replica' by splitting it into smaller functions.
merge_call,Long Method,Refactor 'merge_call' by splitting it into smaller functions.
all_reduce,Long Method,Refactor 'all_reduce' by splitting it into smaller functions.
all_gather,Long Method,Refactor 'all_gather' by splitting it into smaller functions.
_update,Long Method,Refactor '_update' by splitting it into smaller functions.
mean_reduce_helper,Long Method,Refactor 'mean_reduce_helper' by splitting it into smaller functions.
creator_with_resource_vars,Long Method,Refactor 'creator_with_resource_vars' by splitting it into smaller functions.
dimension,Long Method,Refactor 'dimension' by splitting it into smaller functions.
testOperatorOverride,Long Method,Refactor 'testOperatorOverride' by splitting it into smaller functions.
testMultipleLocalDevices,Long Method,Refactor 'testMultipleLocalDevices' by splitting it into smaller functions.
testClusterSpecPropagationThreeServers2Graphs,Long Method,Refactor 'testClusterSpecPropagationThreeServers2Graphs' by splitting it into smaller functions.
testClusterSpecPropagationThreeServers,Long Method,Refactor 'testClusterSpecPropagationThreeServers' by splitting it into smaller functions.
testClusterSpecPropagationThreeServersOneCluster,Long Method,Refactor 'testClusterSpecPropagationThreeServersOneCluster' by splitting it into smaller functions.
testClusterSpecPropagationIsolation,Long Method,Refactor 'testClusterSpecPropagationIsolation' by splitting it into smaller functions.
testClusterSpecPropagationNonIsolation,Long Method,Refactor 'testClusterSpecPropagationNonIsolation' by splitting it into smaller functions.
testClusterSpecPropagationNonIsolation2Graphs,Long Method,Refactor 'testClusterSpecPropagationNonIsolation2Graphs' by splitting it into smaller functions.
quick_execute,Long Method,Refactor 'quick_execute' by splitting it into smaller functions.
execute_with_cancellation,Long Method,Refactor 'execute_with_cancellation' by splitting it into smaller functions.
args_to_matching_eager,Long Method,Refactor 'args_to_matching_eager' by splitting it into smaller functions.
args_to_mixed_eager_tensors,Long Method,Refactor 'args_to_mixed_eager_tensors' by splitting it into smaller functions.
_is_device_list_single_worker,Long Method,Refactor '_is_device_list_single_worker' by splitting it into smaller functions.
_infer_num_gpus_per_worker,Long Method,Refactor '_infer_num_gpus_per_worker' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
_make_collective_ops_with_fallbacks,Long Method,Refactor '_make_collective_ops_with_fallbacks' by splitting it into smaller functions.
_initialize_multi_worker,Long Method,Refactor '_initialize_multi_worker' by splitting it into smaller functions.
_create_variable,Long Method,Refactor '_create_variable' by splitting it into smaller functions.
_experimental_run_steps_on_iterator,Long Method,Refactor '_experimental_run_steps_on_iterator' by splitting it into smaller functions.
testFromFunctionInputSignatureForPerReplicaValuesWithOptions,Long Method,Refactor 'testFromFunctionInputSignatureForPerReplicaValuesWithOptions' by splitting it into smaller functions.
testTypeSpecReturnedFromTFFunction,Long Method,Refactor 'testTypeSpecReturnedFromTFFunction' by splitting it into smaller functions.
testTypeSpecRaggedTensor,Long Method,Refactor 'testTypeSpecRaggedTensor' by splitting it into smaller functions.
testTypeSpecComponents,Long Method,Refactor 'testTypeSpecComponents' by splitting it into smaller functions.
testDistributedDatasetsFromFunctionSpec,Long Method,Refactor 'testDistributedDatasetsFromFunctionSpec' by splitting it into smaller functions.
testTypeSpec,Long Method,Refactor 'testTypeSpec' by splitting it into smaller functions.
testTypeSpecRoundTrip,Long Method,Refactor 'testTypeSpecRoundTrip' by splitting it into smaller functions.
testDoesNotTriggerFunctionTracing,Long Method,Refactor 'testDoesNotTriggerFunctionTracing' by splitting it into smaller functions.
enable_v2_behavior,Long Method,Refactor 'enable_v2_behavior' by splitting it into smaller functions.
disable_v2_behavior,Long Method,Refactor 'disable_v2_behavior' by splitting it into smaller functions.
register_session_run_conversion_functions,Long Method,Refactor 'register_session_run_conversion_functions' by splitting it into smaller functions.
_uniquify_fetches,Long Method,Refactor '_uniquify_fetches' by splitting it into smaller functions.
for_fetch,Long Method,Refactor 'for_fetch' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
build_results,Long Method,Refactor 'build_results' by splitting it into smaller functions.
__init__,Long Method,Refactor '__init__' by splitting it into smaller functions.
